DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons,Year,Month,CargoTons_K
2014-05-01T00:00:00.000,2008-02-01,Departure,Domestic,Mail,2330,2008,2,2.33
2014-05-01T00:00:00.000,2008-02-01,Departure,International,Freight,32161,2008,2,32.161
2014-05-01T00:00:00.000,2008-02-01,Departure,International,Mail,1491,2008,2,1.491
2014-05-01T00:00:00.000,2008-03-01,Arrival,Domestic,Freight,32797,2008,3,32.797
2014-05-01T00:00:00.000,2008-03-01,Arrival,Domestic,Mail,1778,2008,3,1.778
2014-05-01T00:00:00.000,2008-03-01,Arrival,International,Freight,51958,2008,3,51.958
2014-05-01T00:00:00.000,2008-03-01,Arrival,International,Mail,707,2008,3,0.707
2014-05-01T00:00:00.000,2008-03-01,Departure,Domestic,Freight,35055,2008,3,35.055
2014-05-01T00:00:00.000,2008-03-01,Departure,Domestic,Mail,2207,2008,3,2.207
2014-05-01T00:00:00.000,2008-03-01,Departure,International,Freight,37915,2008,3,37.915
2014-05-01T00:00:00.000,2008-03-01,Departure,International,Mail,1271,2008,3,1.271
2014-05-01T00:00:00.000,2008-04-01,Arrival,Domestic,Freight,31587,2008,4,31.587
2014-05-01T00:00:00.000,2008-04-01,Arrival,Domestic,Mail,1806,2008,4,1.806
2014-05-01T00:00:00.000,2008-04-01,Arrival,International,Freight,50366,2008,4,50.366
2014-05-01T00:00:00.000,2008-04-01,Arrival,International,Mail,674,2008,4,0.674
2014-05-01T00:00:00.000,2008-04-01,Departure,Domestic,Freight,34579,2008,4,34.579
2014-05-01T00:00:00.000,2008-04-01,Departure,Domestic,Mail,2390,2008,4,2.39
2014-05-01T00:00:00.000,2008-04-01,Departure,International,Freight,35880,2008,4,35.88
2014-05-01T00:00:00.000,2008-04-01,Departure,International,Mail,1121,2008,4,1.121
2014-05-01T00:00:00.000,2008-05-01,Arrival,Domestic,Freight,30448,2008,5,30.448
2014-05-01T00:00:00.000,2008-05-01,Arrival,Domestic,Mail,1859,2008,5,1.859
2014-05-01T00:00:00.000,2008-05-01,Arrival,International,Freight,48942,2008,5,48.942
2014-05-01T00:00:00.000,2008-05-01,Arrival,International,Mail,726,2008,5,0.726
2014-05-01T00:00:00.000,2008-05-01,Departure,Domestic,Freight,35385,2008,5,35.385
2014-05-01T00:00:00.000,2008-05-01,Departure,Domestic,Mail,2276,2008,5,2.276
2014-05-01T00:00:00.000,2008-05-01,Departure,International,Freight,38660,2008,5,38.66
2014-05-01T00:00:00.000,2008-05-01,Departure,International,Mail,1180,2008,5,1.18
2014-05-01T00:00:00.000,2008-06-01,Arrival,Domestic,Freight,30450,2008,6,30.45
2014-05-01T00:00:00.000,2008-06-01,Arrival,Domestic,Mail,1736,2008,6,1.736
2014-05-01T00:00:00.000,2008-06-01,Arrival,International,Freight,50778,2008,6,50.778
2014-05-01T00:00:00.000,2008-06-01,Arrival,International,Mail,587,2008,6,0.587
2014-05-01T00:00:00.000,2008-06-01,Departure,Domestic,Freight,31970,2008,6,31.97
2014-05-01T00:00:00.000,2008-06-01,Departure,Domestic,Mail,2166,2008,6,2.166
2014-05-01T00:00:00.000,2008-06-01,Departure,International,Freight,38533,2008,6,38.533
2014-05-01T00:00:00.000,2008-06-01,Departure,International,Mail,1186,2008,6,1.186
2014-05-01T00:00:00.000,2008-07-01,Arrival,Domestic,Freight,29301,2008,7,29.301
2014-05-01T00:00:00.000,2008-07-01,Arrival,Domestic,Mail,1778,2008,7,1.778
2014-05-01T00:00:00.000,2008-07-01,Arrival,International,Freight,51909,2008,7,51.909
2014-05-01T00:00:00.000,2008-07-01,Arrival,International,Mail,664,2008,7,0.664
2014-05-01T00:00:00.000,2008-07-01,Departure,Domestic,Freight,32010,2008,7,32.01
2014-05-01T00:00:00.000,2008-07-01,Departure,Domestic,Mail,2184,2008,7,2.184
2014-05-01T00:00:00.000,2008-07-01,Departure,International,Freight,36329,2008,7,36.329
2014-05-01T00:00:00.000,2008-07-01,Departure,International,Mail,1122,2008,7,1.122
2014-05-01T00:00:00.000,2008-08-01,Arrival,Domestic,Freight,28075,2008,8,28.075
2014-05-01T00:00:00.000,2008-08-01,Arrival,Domestic,Mail,1561,2008,8,1.561
